feature,importance,feature_type
num__ONSET_INTERVAL,0.21723287531184868,structured
binary__LAB_DATA_MISSING,0.17450007564306425,structured
concomitant,0.053029416795213315,text
binary__LAB_DATA__other,0.029643659438664812,structured
called,0.026870963260209997,text
care,0.021630177457095702,text
iv,0.018749734929476174,text
num__AGE_YRS,0.017706406545092826,structured
num__NUMDAYS,0.015683226630296105,structured
evaluation,0.012805206949684912,text
cat__STATE_UNKNOWN,0.012226156828567637,structured
chest,0.011936175296342043,text
cause,0.010825828571151946,text
patient,0.008275327514164071,text
acute,0.007873808254612698,text
binary__LAB_DATA__vitals_procedures,0.007799675235449865,structured
arm,0.00760023706632296,text
site,0.00753619867028836,text
mrna moderna,0.007474403814832802,text
stroke,0.0069378948899904095,text
throat,0.006388109251099005,text
positive,0.005874953345854584,text
mrna,0.005563624319427307,text
went,0.005402447067032924,text
relationship,0.005252952623588749,text
covid onset,0.00521247791188066,text
doctor,0.004642946881480325,text
chills,0.004079979146903036,text
diagnosed,0.00374057522958005,text
did result,0.0037048918366545235,text
sore,0.0035193358898471462,text
binary__OTHER_MEDS_MISSING,0.0034431832437506584,structured
seizure,0.003425105425406627,text
weeks receiving,0.0034128151997931872,text
information factors,0.003399884844827151,text
systemic,0.003349851225076181,text
comments,0.0032774040198374436,text
evaluated,0.0032356423739183233,text
sent,0.0031208160888207873,text
blood,0.002911548106565853,text
binary__HISTORY__cardiovascular,0.0027953270563608437,structured
fever,0.0027302950693630507,text
covid,0.0027224128196539185,text
injection site,0.0025148001229472134,text
cat__MONTH_8,0.002494728993166597,structured
paxlovid,0.0023180239781645,text
arrived,0.002194649871642707,text
care professional,0.0020897050199518287,text
injection,0.0020329592693290933,text
breathing,0.0019824277920434392,text
