feature,importance,feature_type
concomitant,0.0522190206099196,text
called,0.028634848745009028,text
care,0.019854042905000188,text
iv,0.01848062655164714,text
chest,0.01359121053734793,text
cause,0.011608927097883939,text
evaluation,0.010547428757821156,text
acute,0.010265132423307186,text
arm,0.009249869977691507,text
events,0.007785334034175651,text
injection,0.0077158283716590005,text
mrna,0.007528743140235423,text
stroke,0.007213195027700261,text
patient,0.006498595463444329,text
chills,0.006381571294954606,text
covid,0.006372954108807971,text
weeks receiving,0.00557688148912411,text
epi,0.0050169541378434395,text
blood,0.00487222645446587,text
positive,0.004665134413768161,text
epinephrine,0.004516555846839034,text
seizure,0.004133309178976834,text
relationship,0.003990111231908258,text
went,0.003941223204412612,text
breath,0.003537444125506783,text
systemic,0.0030515070050942247,text
heart,0.002934075594403292,text
vaccine,0.002812372804094645,text
event,0.0027536044315839125,text
did result,0.0027190573815687982,text
doctor,0.0024924336922453137,text
paxlovid,0.0024679525083118386,text
arrived,0.0024096620837240996,text
injection site,0.0023810849096379027,text
consumer describes,0.0021604076281145565,text
headache,0.002145006416465039,text
received,0.0021417378509792496,text
chest pain,0.0020812676980753214,text
period,0.002072772793186007,text
comments,0.002042960842560429,text
nose,0.0020234639690623222,text
adverse,0.001998907884914935,text
rash,0.0019650285764960416,text
evaluated,0.0019569276501229093,text
taken,0.0017979341510831774,text
information,0.0017676438525824742,text
days,0.0016912789324108686,text
dose,0.001648679504554977,text
temperature,0.0015911856246970733,text
moderna,0.0015505256322149272,text
